File,Satisfiable,Time (s)
973d699ec01b88da869233a79aaa1912-cliquecolouring_n13_k9_c8.sanitized.out,UNKNOWN,3584.09
b11374f7fe60b9a63fbfde24b1a0a439-stb_418_125.apx_2_DC-AD.out,UNSATISFIABLE,1558.48
29d86d9a3b85c349e10ad68d7a713da2-1-ZC-512-K-63.sanitized.out,UNKNOWN,3583.83
72c0d81e16d91bcaed808efcde2e5069-Folkman-175-1251868.sanitized.out,SATISFIABLE,92.31
d7f2e4ec8e631387c928c79e1054c663-stb_418_125.apx_1_DC-AD.out,UNSATISFIABLE,1665.7
cd33a862b81ba7b887845d3510c41c62-MASG0_72_keystream76_0.out,SATISFIABLE,77.95
2b032f8a8976a302ad125eb50a3e8445-1-ZC-512-K-60.sanitized.out,SATISFIABLE,934.97
2a53e9c6a25a50d753a94ead66065826-mp1-ps_5000_21250_3_0_0.8_0_1.50_6.out,UNSATISFIABLE,50.4
f18c7c7b8666458fd04ea7a253ae1e20-FmlaImplyChain_3_7_7.sanitized.out,UNSATISFIABLE,682.35
16c5482d8e658b54e20d59cfd4b1d588-two-trees-511v.sanitized.out,UNKNOWN,3582.78
cd361d33986dccd7f2d86016d6c35241-ecarev-110-4099-22-30-7.out,SATISFIABLE,582.96
55199d55fa9c3751a525d6c0a0e649bd-WS_500_16_90_70.apx_2_DC-AD.out,UNSATISFIABLE,406.93
e6cdc2687fa53506021f05b60ad0c6a2-GracefulGraph-K05-P02_c18.out,SATISFIABLE,11.88
ad4e151d80c7012d88dd79bcfceaade5-x9-08075.sat.sanitized.out,UNSATISFIABLE,21.81
a45a0358685867bd4f1c7f7c0b0e379c-x9-10014.sat.sanitized.out,SATISFIABLE,51.62
25cc054738293c0d9377d7b72b78a341-string_compare_safety_cbmc_unwinding_900.out,UNSATISFIABLE,1807.34
5690b9b0380aa9508699e56cae5918b5-170058440.out,SATISFIABLE,421.19
0d3160b80aa406bfc718c007265b9e73-linked_list_swap_contents_safety_unwind65.out,UNSATISFIABLE,263.06
170a7d847694ee4cfa5c421757672882-af-synthesis_stb_50_140_0_unsat.out,UNSATISFIABLE,1027.48
d11944fbca2dd6540f18bd05b6ccda0c-mdp-32-14-sat.out,UNKNOWN,3583.9
4d7f6efbae05b66ffbbd509a430d57f8-stb_418_125.apx_1_DC-ST.out,UNSATISFIABLE,685.75
1b3c7ac17705be94daaddb5f5ae4816b-rook-56-0-0.out,UNSATISFIABLE,2856.36
556cf803f9de4b2ec688825b5ff7e325-tseitin_d3_n174.sanitized.out,UNKNOWN,3580.44
2115182958f6cfb5a172a24f989b86dd-rook-42-0-1.out,UNSATISFIABLE,1222.64
5b5dfab02ce5c12a50be3bc7d7cc42c7-pcmax-scheduling-m15-2352-13561-SAT.sanitized.out,UNKNOWN,3579.25
6969c86fbc5814332ab8615031334fa8-asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.out,SATISFIABLE,476.86
6c52aca5b5fd284bf1940b84df90a367-1-TC-256-K-71.sanitized.out,UNSATISFIABLE,73.12
c5ae0ec49de0959cd14431ce851c14f8-Circuit_multiplier22.out,SATISFIABLE,41.69
0cace8a29a1d6b225a8da561d35e8f5a-lru_10.sanitized.out,SATISFIABLE,89.96
3593875d75d6e836a3ac328c5426c1b5-Break_18_32.xml.out,UNKNOWN,3583.4
3b59c5d9b6729f39c8483446701f4ed0-g2-T93.2.1.out,UNSATISFIABLE,891.11
00d1fe07ab948b348bb3fb423b1ef40d-lec_mult_KvW_12x11.sanitized.out,UNKNOWN,3583.76
e8abb9c83efdd96a99990f3b914ea873-linked_list_swap_contents_safety_unwind57.out,UNSATISFIABLE,205.53
37a11ae189df2834a3f294736f34608f-mdp-28-16-unsat.out,UNSATISFIABLE,1935.45
b76fa2f50a42120ec54fa98c29113326-lec_mult_DvK_12x12.sanitized.out,UNKNOWN,3584.72
88d151d4e3c6ba9bd78454de141cd108-T105.2.0.out,UNSATISFIABLE,560.25
1e74212168124b696531fed471b480b1-mdp-32-10-unsat.out,UNKNOWN,3584.96
94dd280b1562ee7dae44b303b8fed233-Break_unsat_18_31.xml.out,UNKNOWN,3581.54
fb51311320bb42bdb893249998a77f40-constraints_16_0.3_1.sanitized.out,UNSATISFIABLE,201.89
fb45d41807bcbbbe689de282c1310798-Break_unsat_16_27.xml.out,UNKNOWN,3585.45
9d9c4fa425282759eb9e98b82fb5f56e-x9-12087.sat.sanitized.out,SATISFIABLE,461.43
b8c7c777e76995e5bf7b517f2db234ba-noL-11-16.sanitized.out,SATISFIABLE,40.0
ded23680dfeab2879c05bc0e4de21126-x9-09014.sat.sanitized.out,UNSATISFIABLE,54.81
70bfbd054dc9ffd394fab32845b492d3-circuit_32in32out_with_100gates_7in7out_dist64_seed2.sanitized.out,SATISFIABLE,102.56
31e788a12ddc8b43ec20e77d53abaa23-pcmax-scheduling-m40-26287-324155-SAT.sanitized.out,UNKNOWN,3580.58
05ed64e4e6229f446082752936768489-stb_495_168.apx_2_DC-AD.out,UNSATISFIABLE,262.72
14e4cfcf0d83b2185fad41684d00d4dc-x9-12035.sat.sanitized.out,SATISFIABLE,68.08
a14d9ee17051ec08a4334ba43089502c-64_200.sanitized.out,SATISFIABLE,298.27
bbfed8974655bca520259deb10d2347b-x9-09054.sat.sanitized.out,SATISFIABLE,38.26
093fa3ff9f7bc9979c43f9d2310ac21d-128_125.sanitized.out,SATISFIABLE,414.19
82d9e8d2cfea101dfe52c8359b7bb163-af-synthesis_stb_50_40_2_unsat.out,UNSATISFIABLE,484.67
dd5fc8da5454a990a0e7999884158c64-1-ET-256-K-70.sanitized.out,UNSATISFIABLE,127.12
9276ce38c625b2d00de247f8588f1542-combined-crypto1-wff-seed-102-wffvars-500-cryptocplx-31-overlap-2.out,SATISFIABLE,986.22
7dc0e1b5fedbd8351907f1316b58e68f-1-ZC-512-K-65.sanitized.out,UNKNOWN,3584.56
c2bfe541b7cff948fa3193e9ca0eddee-frb45-21-2.used-as.sat04-884.out,SATISFIABLE,112.11
